LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_RAmbush,"THIS IS FOXTROT BLACK. ENEMY FORCES SPOTTED IN ROAD NEAR LA PASSAGNE. ITS AN AMBUSH! OVER.",ambush

STRM_Rcallsupport,"ALPHA BLACK TO ECHO BLACK. OBJECTIVE ONE IS SECURE ENOUGH. PROCEED WITH THE PLAN. OVER.",alpha

STRM_Rsupply,"THIS IS ECHO BLACK ONE. ON OUR WAY, ETA FOUR MINUTES. HOLD TIGHT. OVER.",supply
STRM_Rsupply2,"THIS IS ECHO BLACK ONE. WE ARE NOW STARTING TO SWEEP THE LA PASSAGNE AREA. OVER.",supply2
STRM_Rcleared,"ECHO BLACK TO ALPHA BLACK. LA PASSAGNE AREA IS CLEARED I REPEAT AREA IS CLEARED. OVER.",cleared

STRM_RHQ1,"FOXTROT BLACK ONE THIS IS FIELD HQ. WHAT IS YOUR STATUS. OVER.",hq1
STRM_RHQ2,"THIS IS FIELD HQ. FOXTROT BLACK ONE PLEASE RESPOND. WHAT IS YOUR SITUATION. CAN YOU HEAR ME. OVER.",hq2
STRM_RHQ3,"ALL FORCES THIS IS FIELD HQ. WE HAVE LOST FOXTROT BLACK, I REPEAT WE HAVE LOST FOXTROT BLACK. STAY ALERT ON THE ROAD SOUTH FROM LA PASSAGNE. OVER.",hq3
STRM_Rmcomplete,"FIELD HQ TO ALL FORCES. RUSSIAN FORCES ARE DEFEATED. MISSION ACCOMPLISHED. OVER.",hq
