LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Raaadead,"BRAVO BLACK TO PAPA BEAR. ENEMY SHILKA IS TOAST. OVER.",bravo
STRM_Robjclear,"THIS IS BRAVO. THE OBJECTIVE IS CLEARED FOR ENEMY AAA. COMMENCE THE AIRSTRIKE. OVER.",bravo
STRM_Rsecured,"THE AREA IS SECURE FOR INSERTION. SEND IN THE BLACKHAWKS. OVER.",bravo
STRM_Rextract,"REQUESTING IMMEDIATE EXTRACTION. OVER.",bravo

STRM_Rprepare,"CHARLIE TO BRAVO. PREPARE TO UNLOAD. ETA 30 SECONDS. GOOD LUCK. CHARLIE OUT.",boat

STRM_Rbwenroute,"COPY BRAVO BLACK. BLACKHAWKS ENROUTE. OVER.",blackhawks
STRM_Rcpyextract,"COPY. EXTRACTION IS UNDERWAY. OVER.",hq

STRM_Rcalled,"COBRAS TO BRAVO BLACK. COPY. WERE ENROUTE, SIT TIGHT AND OBSERVE. OVER.",cobras
STRM_Rah1done,"WE ARE DONE. AREA IS SECURE. PROCEED WITH THE ASSAULT. OVER.",cobras

STRM_Rcommitextract,"EXTRACT EXTRACT EXTRACT. EVERYBODY ON THE LZ NOW! OVER.",biggie

STRM_Rgoodluck,"GOOD LUCK BRAVO BLACK. MAKE ME PROUD. OVER.",boss
