LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rout,"US ARMY SIR, WERE HERE TO GET YOU OUT. LETS GO.",alpha
STRM_Rcallhelo,"ALPHA TO SANDY. OBJECTIVE IS SECURED. COME TO PICK US UP. OVER.",alpha
STRM_Rsnipajoin,"ALPHA TO SNIPERS. JOIN UP WE ARE LEAVING. OVER.",alpha

STRM_Rinsert,"GET READY FOR INSERTION. OVER.",helo
STRM_Rgoodluck,"GOOD LUCK. BRING 'EM HOME. OVER.",helo
STRM_Rextract,"GET READY FOR EXTRACTION AND MAKE IT FAST. OVER.",helo
STRM_Rdustoff,"DUSTOFF.",helo

STRM_Rgogogo,"SNIPERS, YOU ARE CLEARED HOT. ALL UNITS COMMENCE THE ATTACK. OVER.",hq

STRD_Rmissname,"PMC POW Camp",missionname
STRL_Rload,"Getting ready for important mission...",loadname
